Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,IsAlone,HasCabin,Fare_log
0,3,2,22.0,1,0,7.25,3,0,0,2.1102132003465894
1,1,1,38.0,1,0,71.2833,1,0,1,4.2805931204649
1,3,1,26.0,0,0,7.925,3,1,0,2.188856327665703
1,1,1,35.0,1,0,53.1,3,0,1,3.9908341858524357
0,3,2,35.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,2,28.0,0,0,8.4583,2,1,0,2.246892662898172
0,1,2,54.0,0,0,51.8625,3,1,1,3.967694202798607
0,3,2,2.0,3,1,21.075,3,0,0,3.094445746490024
1,3,1,27.0,0,2,14.5,3,0,0,2.740840023925201
1,2,1,14.0,1,0,30.0708,1,0,0,3.436268471383741
1,3,1,4.0,1,1,14.5,3,0,1,2.740840023925201
1,1,1,58.0,0,0,26.55,3,1,1,3.3160025355989236
0,3,2,20.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,2,39.0,1,5,31.275,3,0,0,3.4742929367327062
0,3,1,14.0,0,0,7.8542,3,1,0,2.180891922715322
1,2,1,55.0,0,0,16.0,3,1,0,2.833213344056216
0,3,2,2.0,4,1,29.125,2,0,0,3.405355391810819
1,2,2,28.0,0,0,13.0,3,1,0,2.639057329615259
0,3,1,31.0,1,0,18.0,3,0,0,2.9444389791664403
1,3,1,28.0,0,0,7.225,1,1,0,2.1071782966514356
0,2,2,35.0,0,0,26.0,3,1,0,3.295836866004329
1,2,2,34.0,0,0,13.0,3,1,1,2.639057329615259
1,3,1,15.0,0,0,8.0292,2,1,0,2.2004637699272855
1,1,2,28.0,0,0,35.5,3,1,1,3.597312260588446
0,3,1,8.0,3,1,21.075,3,0,0,3.094445746490024
1,3,1,38.0,1,5,31.3875,3,0,0,3.4777725458882283
0,3,2,28.0,0,0,7.225,1,1,0,2.1071782966514356
0,1,2,19.0,3,2,263.0,3,0,1,5.575949103146316
1,3,1,28.0,0,0,7.8792,2,1,0,2.1837114628556327
0,3,2,28.0,0,0,7.8958,3,1,0,2.1855792552411137
0,1,2,40.0,0,0,27.7208,1,1,0,3.357621598945279
1,1,1,28.0,1,0,146.5208,1,0,1,4.993969182787072
1,3,1,28.0,0,0,7.75,2,1,0,2.169053700369523
0,2,2,66.0,0,0,10.5,3,1,0,2.4423470353692043
0,1,2,28.0,1,0,14.5,1,0,0,2.740840023925201
0,1,2,42.0,1,0,52.0,3,0,0,3.970291913552122
1,3,2,28.0,0,0,7.2292,1,1,0,2.1076888046179385
0,3,2,21.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,1,18.0,2,0,18.0,3,0,0,2.9444389791664403
1,3,1,14.0,1,0,11.2417,1,0,0,2.5048481563289
0,3,1,40.0,1,0,9.475,3,0,0,2.3489914658082016
0,2,1,27.0,1,0,21.0,3,0,0,3.091042453358316
0,3,2,28.0,0,0,7.8958,1,1,0,2.1855792552411137
1,2,1,3.0,1,2,41.5792,1,0,0,3.7513658711253766
1,3,1,19.0,0,0,7.8792,2,1,0,2.1837114628556327
0,3,2,28.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,2,28.0,1,0,15.5,2,0,0,2.803360380906535
1,3,1,28.0,0,0,7.75,2,1,0,2.169053700369523
0,3,2,28.0,2,0,21.6792,1,0,0,3.121448204868825
0,3,1,18.0,1,0,17.8,3,0,0,2.9338568698359033
0,3,2,7.0,4,1,39.6875,3,0,0,3.705920919968788
0,3,2,21.0,0,0,7.8,3,1,0,2.174751721484161
1,1,1,49.0,1,0,76.7292,1,0,1,4.353230991152628
1,2,1,29.0,1,0,26.0,3,0,0,3.295836866004329
0,1,2,65.0,0,1,61.9792,1,0,1,4.142804513146981
1,1,2,28.0,0,0,35.5,3,1,1,3.597312260588446
1,2,1,21.0,0,0,10.5,3,1,0,2.4423470353692043
0,3,2,28.5,0,0,7.2292,1,1,0,2.1076888046179385
1,2,1,5.0,1,2,27.75,3,0,0,3.3586377672433594
0,3,2,11.0,5,2,46.9,3,0,0,3.8691155044168695
0,3,2,22.0,0,0,14.5,1,1,0,2.740840023925201
1,1,1,38.0,0,0,80.0,3,1,1,4.394449154672439
0,1,2,45.0,1,0,83.475,3,0,1,4.436455632600354
0,3,2,4.0,3,2,27.9,3,0,0,3.3638415951183864
0,1,2,28.0,0,0,27.7208,1,1,0,3.357621598945279
1,3,2,28.0,1,1,15.2458,1,0,0,2.7878344138303452
1,2,1,29.0,0,0,10.5,3,1,1,2.4423470353692043
0,3,2,19.0,0,0,8.1583,3,1,0,2.2146605719425225
1,3,1,17.0,4,2,7.925,3,0,0,2.188856327665703
0,3,2,26.0,2,0,8.6625,3,0,0,2.2682524139135403
0,2,2,32.0,0,0,10.5,3,1,0,2.4423470353692043
0,3,1,16.0,5,2,46.9,3,0,0,3.8691155044168695
0,2,2,21.0,0,0,73.5,3,1,0,4.310799125385514
0,3,2,26.0,1,0,14.4542,1,0,0,2.737880811060884
1,3,2,32.0,0,0,56.4958,3,1,0,4.051711901657239
0,3,2,25.0,0,0,7.65,3,1,1,2.157559320943788
0,3,2,28.0,0,0,7.8958,3,1,0,2.1855792552411137
0,3,2,28.0,0,0,8.05,3,1,0,2.2027647577118348
1,2,2,0.83,0,2,29.0,3,0,0,3.4011973816621555
1,3,1,30.0,0,0,12.475,3,1,0,2.600836116795061
0,3,2,22.0,0,0,9.0,3,1,0,2.302585092994046
1,3,2,29.0,0,0,9.5,3,1,0,2.3513752571634776
1,3,1,28.0,0,0,7.7875,2,1,0,2.1733302571367834
0,1,2,28.0,0,0,47.1,3,1,0,3.8732821771117156
1,2,1,17.0,0,0,10.5,3,1,0,2.4423470353692043
1,3,1,33.0,3,0,15.85,3,0,0,2.8243506567983707
0,3,2,16.0,1,3,34.375,3,0,0,3.5660053559634015
0,3,2,28.0,0,0,8.05,3,1,0,2.2027647577118348
1,1,1,23.0,3,2,263.0,3,0,1,5.575949103146316
0,3,2,24.0,0,0,14.5,3,1,0,2.740840023925201
0,3,2,29.0,0,0,8.05,3,1,0,2.2027647577118348
0,3,2,20.0,0,0,7.8542,3,1,0,2.180891922715322
0,1,2,46.0,1,0,61.175,3,0,1,4.1299529896894684
0,3,2,26.0,1,2,20.575,3,0,0,3.0715352369694915
0,3,2,59.0,0,0,7.25,3,1,0,2.1102132003465894
0,3,2,28.0,0,0,14.5,3,1,0,2.740840023925201
0,1,2,71.0,0,0,34.6542,1,1,1,3.57386695198272
1,1,2,23.0,0,1,63.3583,1,0,1,4.164465907853638
1,2,1,34.0,0,1,23.0,3,0,0,3.1780538303479458
0,2,2,34.0,1,0,26.0,3,0,0,3.295836866004329
0,3,1,28.0,0,0,7.8958,3,1,0,2.1855792552411137
0,3,2,28.0,0,0,14.5,3,1,0,2.740840023925201
0,1,2,21.0,0,1,77.2875,3,0,1,4.360387947851531
0,3,2,33.0,0,0,8.6542,3,1,0,2.267393053825037
0,3,2,37.0,2,0,7.925,3,0,0,2.188856327665703
0,3,2,28.0,0,0,7.8958,3,1,0,2.1855792552411137
